# NASA Exoplanet Archive cumulative KOI table, downloaded 2026-08-22 15:44 UTC+1.
# Columns used by fpp/own_fpp.py, in the archive's row order: kepoi_name [-],
# koi_disposition [-], koi_period [d], koi_prad [R_earth].
kepoi_name,koi_disposition,koi_period,koi_prad
K00136.01,FALSE POSITIVE,15.663886949,27.36
K01065.01,FALSE POSITIVE,4.020628573,16.94
K01066.01,CANDIDATE,5.714817603,9.29
K01067.01,FALSE POSITIVE,185.02288222,49.82
K01068.01,FALSE POSITIVE,2.897432135,14.35
K01069.01,CONFIRMED,8.70420525,2.86
K01127.02,CONFIRMED,8.1280933,1.39
K01127.03,CANDIDATE,2.83668931,1.19
K01128.01,CONFIRMED,0.974868896,1.16
K01129.01,CONFIRMED,4.89721006,1.48
K01130.01,FALSE POSITIVE,2.757794163,20.05
K01132.01,FALSE POSITIVE,1.914158508,13.63
K01196.01,FALSE POSITIVE,3.98216698,3.32
K01197.01,FALSE POSITIVE,0.643794198,19.51
K01198.01,CONFIRMED,16.08832318,3.42
K01198.02,CONFIRMED,10.30067919,2.2
K01198.03,CONFIRMED,35.6757453,3.02
K01198.04,CANDIDATE,1.00861677,
K00998.01,FALSE POSITIVE,161.78832712,36.14
K00999.01,CONFIRMED,16.56806842,2.54
K00999.02,CONFIRMED,47.3329299,2.18
K01000.01,FALSE POSITIVE,0.856895349,0.82
K01001.01,CONFIRMED,40.8065333,3.71
K01069.02,CONFIRMED,2.46697039,1.56
K00141.01,CANDIDATE,2.624234833,5.11
K01070.01,CONFIRMED,6.61836309,2.98
K01070.02,CONFIRMED,107.7214092,4.75
K01070.03,CANDIDATE,92.77779,1.92
K01133.01,FALSE POSITIVE,5.251916208,37.15
K00148.02,CONFIRMED,9.673958488,2.63
K01134.01,FALSE POSITIVE,100.3039228,29.55
K01134.02,FALSE POSITIVE,200.61103346,
K01135.01,FALSE POSITIVE,0.986620248,43.98
K01136.01,FALSE POSITIVE,1.63484631,
K01203.02,CONFIRMED,14.12847677,2.73
K01203.03,CONFIRMED,48.6478543,4.14
K01204.01,CONFIRMED,8.39842977,2.0
K01205.01,CONFIRMED,8.63847391,5.99
K01206.01,CANDIDATE,422.917678,5.89
K01001.02,CONFIRMED,140.10765,3.42
K01002.01,CONFIRMED,3.4815917,1.17
K01003.01,FALSE POSITIVE,8.360616221,40.35
K01004.01,FALSE POSITIVE,1.838514968,4.86
K01005.01,CONFIRMED,35.61760233,5.17
K01071.01,FALSE POSITIVE,1.09206833,1.29
K01072.01,CONFIRMED,10.12805158,1.95
K01073.01,FALSE POSITIVE,1.613001111,1.25
K01074.01,CONFIRMED,3.770551475,12.05
K01075.01,FALSE POSITIVE,1.343767797,18.66
K01076.01,FALSE POSITIVE,29.12436474,15.25
K01138.01,FALSE POSITIVE,31.82814583,35.8
K01139.01,FALSE POSITIVE,3.629442796,3.28
K01140.01,FALSE POSITIVE,0.553261874,97.36
K01141.01,CONFIRMED,5.72812616,1.38
K01142.01,CONFIRMED,3.75574267,1.58
K01143.01,FALSE POSITIVE,7.44042933,2.74
K00941.01,CONFIRMED,6.581477136,4.56
K00129.01,CONFIRMED,24.669192732,77.76
K00941.02,CONFIRMED,2.382652873,2.74
K00941.03,CONFIRMED,24.66461416,5.34
K00942.01,CONFIRMED,11.51517167,2.9
K00137.01,CONFIRMED,7.641567589,4.91
K01006.01,FALSE POSITIVE,30.6113932,19.68
K01007.01,CONFIRMED,7.40742502,2.01
K01008.01,FALSE POSITIVE,569.934135,38.98
K01009.01,FALSE POSITIVE,5.09246539,1.17
K01010.01,FALSE POSITIVE,110.61576622,
K01077.01,FALSE POSITIVE,1.103971357,1.37
K00142.01,CONFIRMED,10.916108342,3.93
K01078.01,CONFIRMED,3.353732008,1.65
K01078.02,CONFIRMED,6.877446033,2.05
K01078.03,CONFIRMED,28.46464804,1.87
K01079.01,FALSE POSITIVE,0.293630085,26.35
K00148.03,CONFIRMED,42.89645024,2.0
