lhood_heb L_heb pr_heb lhood_heb_Px2 L_heb_Px2 pr_heb_Px2 lhood_eb L_eb pr_eb lhood_eb_Px2 L_eb_Px2 pr_eb_Px2 lhood_beb L_beb pr_beb lhood_beb_Px2 L_beb_Px2 pr_beb_Px2 lhood_pl L_pl pr_pl fpV fp FPP
0.00e+00 0.00e+00 0.00e+00 1.05e-87 4.73e-93 1.43e-90 9.62e-269 1.77e-271 5.34e-269 1.08e-98 3.72e-103 1.13e-100 2.36e-04 3.81e-07 1.15e-04 6.33e-22 7.73e-25 2.34e-22 7.20e-01 3.30e-03 1.00e+00 0.00205 0.089 1.15e-04
0.00e+00 0.00e+00 0.00e+00 1.32e-98 7.92e-104 2.40e-101 4.93e-282 9.46e-285 2.86e-282 3.05e-88 6.29e-93 1.91e-90 2.69e-04 4.41e-07 1.33e-04 1.02e-22 1.21e-25 3.66e-23 7.19e-01 3.30e-03 1.00e+00 0.00237 0.089 1.33e-04
0.00e+00 0.00e+00 0.00e+00 1.75e-93 1.05e-98 2.98e-96 1.70e-270 3.21e-273 9.12e-271 2.60e-96 5.58e-101 1.59e-98 1.26e-04 2.02e-07 5.74e-05 7.18e-22 8.45e-25 2.40e-22 7.66e-01 3.52e-03 1.00e+00 0.00102 0.089 5.74e-05
0.00e+00 0.00e+00 0.00e+00 3.29e-97 1.67e-102 4.86e-100 2.33e-257 4.65e-260 1.35e-257 2.66e-99 7.73e-104 2.25e-101 8.96e-05 1.47e-07 4.26e-05 1.45e-21 1.77e-24 5.16e-22 7.49e-01 3.44e-03 1.00e+00 0.000757 0.089 4.26e-05
0.00e+00 0.00e+00 0.00e+00 4.64e-90 2.96e-95 8.72e-93 3.88e-270 7.29e-273 2.15e-270 3.29e-95 9.32e-100 2.74e-97 5.21e-04 8.43e-07 2.48e-04 2.99e-22 3.63e-25 1.07e-22 7.40e-01 3.40e-03 1.00e+00 0.0044 0.089 2.48e-04
0.00e+00 0.00e+00 0.00e+00 1.81e-98 1.22e-103 3.56e-101 8.99e-283 1.78e-285 5.17e-283 4.48e-102 1.20e-106 3.49e-104 4.91e-04 7.99e-07 2.33e-04 3.52e-22 4.30e-25 1.25e-22 7.48e-01 3.43e-03 1.00e+00 0.00413 0.089 2.33e-04
0.00e+00 0.00e+00 0.00e+00 4.60e-86 2.16e-91 6.27e-89 1.67e-272 3.23e-275 9.38e-273 7.37e-90 1.86e-94 5.40e-92 5.23e-04 8.48e-07 2.46e-04 1.90e-26 2.25e-29 6.53e-27 7.49e-01 3.44e-03 1.00e+00 0.00438 0.089 2.46e-04
0.00e+00 0.00e+00 0.00e+00 5.10e-94 2.30e-99 6.73e-97 9.38e-271 1.90e-273 5.57e-271 2.10e-105 5.62e-110 1.65e-107 5.07e-04 8.14e-07 2.38e-04 1.58e-21 1.93e-24 5.64e-22 7.44e-01 3.41e-03 1.00e+00 0.00423 0.089 2.38e-04
0.00e+00 0.00e+00 0.00e+00 1.53e-93 9.19e-99 2.79e-96 1.08e-267 2.02e-270 6.11e-268 3.90e-99 1.16e-103 3.53e-101 5.88e-04 9.42e-07 2.86e-04 1.62e-22 1.95e-25 5.91e-23 7.18e-01 3.30e-03 1.00e+00 0.00507 0.089 2.86e-04
0.00e+00 0.00e+00 0.00e+00 1.39e-88 6.53e-94 1.88e-91 1.76e-280 3.39e-283 9.77e-281 1.37e-109 4.81e-114 1.39e-111 7.11e-04 1.16e-06 3.33e-04 6.59e-26 7.92e-29 2.29e-26 7.55e-01 3.46e-03 1.00e+00 0.00592 0.089 3.33e-04
